texto,reduzido,ordinal,hebraico,quadrado_reduzido,quadrado_ordinal,trigonal,criacao,quantidade_letras,
Instrumentos De Iniquidade,118,289,1684,748,4447,2368,6960,24,
Insultar,33,114,780,211,1948,1031,920,8,
Integro Reto,65,146,776,447,2274,1210,1617,11,
Integro Reto Que Temia A Deus E Fugia Do Mal,165,381,2289,1003,5737,3059,13370,35,
Inteligencia Humana,85,166,778,531,2160,1163,3006,18,
Intentar ,38,101,605,246,1623,862,816,8,
Interamente Secos,68,185,923,384,2823,1504,2976,16,
Interpretacao Das Escrituras,113,302,1787,733,4972,2637,7878,26,
Interpretar,63,144,810,457,2356,1250,1595,11,
Interprete,58,130,724,400,2056,1093,1310,10,
Intimidade,52,88,331,346,1066,577,890,10,
Intuição,38,92,632,246,1434,763,744,8,
Inundação,37,82,478,203,1166,624,747,9,
Invejosos E Cobiçosos,80,233,1196,460,3583,1908,4446,19,
Inverno,43,97,664,289,1531,814,686,7,
Investigado,53,125,845,335,1919,1022,1386,11,
Investigar,52,124,871,364,2002,1063,1250,10,
Invisivel,49,121,1012,335,1937,1029,1098,9,
Invísivel,49,121,1012,335,1937,1029,1098,9,
Invocando O Nome Do Senhor,113,257,1229,667,3709,1983,5676,22,
Irmã,23,41,140,179,575,308,168,4,
Irmao,29,56,200,215,800,428,285,5,
Irrepreensivel,85,175,958,605,2675,1425,2464,14,
Isac,14,32,113,92,452,242,132,4,
Isaque,27,72,495,181,1198,635,438,6,
Isaque Em Hebraico,79,151,718,523,2125,1138,2432,16,
Isaque Filho De Abraão,88,169,772,572,2345,1257,3230,19,
Isis,20,56,218,164,884,470,228,4,
Israel,28,64,235,198,936,500,390,6,
Israel Ai Tem Os Teus Deuses Que Te Fez Sair Do Egito,187,511,3715,1141,8359,4435,21504,42,
Israel É Meu Filho,77,158,698,499,2146,1152,2385,15,
Isso,17,62,269,119,1028,545,252,4,
Isto É Não São Os Filhos Da Carne Que São Os Filhos De Deus,197,521,2510,1161,7893,4207,24012,46,
Isto Foi Feito Pelo Senhor,122,275,1202,808,4021,2148,6072,22,
Já Em Seu Coração Cometeu Adultério Com Ela,141,366,2130,733,5440,2903,13212,36,
Já Morremos Com Cristo,89,242,1061,567,3726,1984,4617,19,
Já Não Há Nenhuma Condenação Para Os Que Estaõ Em Jesus Cristo,199,550,2917,1101,8400,4475,28101,51,
Já Não Sou Eu Que Faço Isto,82,253,1711,446,4109,2181,5334,21,
Já O Viste E É Ele Quem Fala Contigo,121,292,1687,675,4212,2252,8204,28,
Já Ressucitou,44,161,1178,258,2769,1465,1944,12,
Jaco,11,29,74,47,335,182,120,4,
Jaco A Porção Da Sua Heranca,86,194,923,494,2816,1505,4485,23,
Jacob,13,31,76,51,339,185,160,5,
Janta,10,46,262,32,698,372,235,5,
Jardim Do Eden,57,102,282,339,1194,648,1236,12,
Jeep,18,36,90,100,406,221,148,4,
Jerusalem,32,104,581,168,1590,847,945,9,
Jerusalem Jerusalem Que Mata Os Profetas E Apedrejas Os Que Te São Enviados,244,730,4312,1354,11596,6163,46053,63,
Jerusalém Jerusalém Que Matas Os Profetas,133,439,2581,727,7081,3760,15840,36,
Jesse,13,58,220,53,872,465,295,5,
Jesus,11,74,515,37,1288,681,375,5,
Jesus Batizado,44,152,1592,244,2692,1422,1989,13,
Jesus Cristo,41,158,977,249,2688,1423,1749,11,
Jesus Cristo + Espirito Da Paz,110,317,2396,738,5391,2854,7950,25,
Jesus Cristo É O Mesmo Ontem E Hoje E Eternamente,172,478,2386,942,7152,3815,19160,40,
Jesus Cristo Foi Ministro Da Circuncisão,164,425,2243,1086,6621,3523,14910,35,
Jesus De Nazare,49,148,1471,275,2552,1350,1937,13,
Jesus Filho De Jose,65,182,812,367,2590,1386,2928,16,
Jesus Filho De Jose E Maria,94,229,958,572,3191,1710,5060,22,
Jesus Lhe Disse,47,155,776,259,2365,1260,2028,13,
Jesus Lhe Disse Porque Me Chamas Bom,124,340,1681,712,5122,2731,10230,30,
Jesus Seja Maldito,48,183,975,228,2811,1497,2944,16,
João,14,41,131,74,551,296,168,4,
João Batista,32,113,644,170,1799,956,1254,11,
João Estava Preso,56,182,1163,314,3014,1598,2745,15,
João O Que Batizava Ressucitou Dentre Os Mortos,171,531,4221,1023,9123,4827,21280,40,
João Testificou Dele,77,194,1067,435,2820,1507,3510,18,
Joelho,29,65,173,171,783,424,396,6,
Jogar,24,51,168,168,699,375,260,5,
Joia,17,35,80,119,407,221,144,4,
Jonas,14,59,221,64,883,471,300,5,
Jonatas,17,80,422,69,1284,682,567,7,
Jose Filho De Davi,72,144,711,444,1884,1014,2175,15,
Jovem Insensato,55,181,1090,293,2849,1515,2548,14,
Judas,10,55,415,28,919,487,280,5,
Judasisca,24,87,528,120,1371,729,792,9,
Judeia,23,50,329,133,664,357,306,6,
Judeu,16,61,619,60,1023,542,310,5,
Jui,13,40,319,91,622,331,123,3,
Juiz,21,66,1119,155,1298,682,268,4,
Juizo,27,81,1179,191,1523,802,410,5,
Juizo Divino,64,154,1711,446,2606,1380,1705,11,
Julgara Todos Os Homens,80,251,1286,448,3913,2082,5040,20,
Julgo,20,65,407,104,959,512,330,5,
Julguei,31,85,661,183,1281,683,602,7,
Jumentinho,48,129,732,286,1897,1013,1300,10,
Juntamente A Sua Consciencia,89,260,1556,449,3950,2105,6525,25,
Jupiter,36,99,684,250,1627,863,700,7,
Juro Que Renegara A Tua Face,99,234,1611,599,3704,1969,5405,23,
Juro Que Te Amaldiçoara Na Tua Face,111,282,1857,617,4352,2317,8207,29,
Jurou O Senhor Deus Por Si Mesmo,127,370,2116,797,5990,3180,9646,26,
Jurou O Senhor Deus Por Si Mesmo Diz O Senhor O Deus Dos Exercitos,264,723,5007,1664,11879,6301,38372,53,
Justa,8,71,611,16,1303,687,360,5,
Justa Recompensa,54,180,1035,284,2894,1537,2715,15,
Justica,20,83,623,106,1393,738,588,7,
Justificados Pela Fé,73,181,919,421,2599,1390,3276,18,
Justificados Pela Sua Graça,88,241,1411,512,3725,1983,5808,24,
Justificar,44,116,728,304,1834,975,1170,10,
Justo,13,85,670,51,1527,806,430,5,
Justo És Ó Senhor E Retos São Os Teus Juizos,141,519,3813,823,8977,4748,18200,35,
Justo Justa,21,156,1281,67,2830,1493,1570,10,
"Justo, Reto E Honesto",73,244,1513,413,4022,2133,4410,18,
Kumibito,37,100,640,235,1522,811,808,8,
Labão,13,31,94,51,375,203,160,5,
Lábios Impuros,61,169,871,405,2673,1421,2210,13,
Laços Da Tolerância E Da Fraternidade,133,268,1123,779,3650,1959,8608,32,
Lacos De Ternura,57,156,939,323,2492,1324,2198,14,
Lado Iluminado,58,130,598,336,1740,935,1703,13,
Lado Sombrio,51,123,456,317,1775,949,1364,11,
Ladrão,24,51,186,144,711,381,312,6,
Lambda,15,33,78,47,335,184,204,6,
Lamentação Choro E Grande Pranto,129,282,1245,771,4056,2169,7924,28,
Lançaram Sobre Ele Seus Vestidos,105,321,1896,565,5119,2720,9016,28,
Lançaremos O Terror No Coração Dos Que Renegam A Fé,199,451,2062,1217,6725,3588,18984,42,
Lançou Todos Fora Do Templo,99,279,1494,527,4289,2284,6440,23,
Lascivia,31,76,553,199,1162,619,616,8,
Latam,11,47,272,31,715,381,240,5,
Lavai Me Totalmente De Minha Falta,111,282,1632,577,4024,2153,8207,29,
Lavai Me Totalmente De Minha Falta E Puirfica Me De Meu Pecado,219,480,2667,1217,6680,3580,24531,51,
Lavaras Seus Pes Nos Sangues Dos Impios,125,431,2528,711,7137,3784,14256,33,
Lavarospes,38,128,857,220,2182,1155,1290,10,
Lavo Minhas Mãos Na Inocencia,106,250,1141,622,3502,1876,6275,25,
Lavra,18,54,522,108,954,504,275,5,
Lavrador,37,91,676,241,1519,805,736,8,
Lavrar,27,72,612,189,1278,675,438,6,
Leá,9,18,36,35,170,94,57,3,
Lealdade Genuína,61,115,502,317,1361,738,1740,15,
Leão,15,33,96,71,395,214,136,4,
Leão Da Tribo De Juda,66,147,786,362,2045,1096,2516,17,
Lei Da Carne,45,72,198,273,822,447,730,10,
Lei Da Mulher,54,108,522,336,1434,771,1199,11,
Lei Da Paixaõ,52,97,790,336,1407,752,1078,11,
Lei Dos Anjos,42,123,429,232,1735,929,1364,11,
Lembrado Da Sua Misericórdia,113,239,1058,725,3425,1832,6000,25,
Lembrai Vos De Vossos Guias Que Pregaram A Palavra De Deus,201,543,3684,1195,8809,4676,26112,48,
Lembram-Se Dos Preceitos Divinos,130,328,1651,798,4974,2651,9541,29,
Lembrança,33,69,222,171,873,471,630,9,
Lembrando Me Das Tuas Lágrimas,96,267,1311,526,4009,2138,6968,26,
Lembrando Nos Sem Cessar Da Obra De Vossa Fé,137,371,1775,731,5627,2999,13392,36,
Lembrarei De Seus Pecados E De Suas Iniquidades,171,405,2115,1015,6037,3221,16240,40,
Lembra-Te De Santificar O Dia De Sabado,130,265,1102,760,3595,1930,8778,33,
Leprosa Branca Como A Neve,92,218,1127,512,3230,1724,4818,22,
Leprosa Branca Como Neve,91,217,1126,511,3229,1723,4578,21,
Leste,16,61,340,64,955,508,310,5,
Levanta Te E Fica Em Pe No Meio,108,234,1260,596,3224,1729,5640,24,
Levanta -Te E Persegue Aqueles Varões,127,361,2656,693,5913,3137,11584,32,
Levanta Te Faz Nos Deuses Diante De Nós,121,364,2911,605,5942,3153,11680,32,
Levantar,30,93,777,162,1575,834,752,8,
Levantaram Se Contra Moises,93,282,1641,521,4508,2395,6792,24,
Lhe Deu Gllória,66,129,579,414,1683,906,1690,13,
Lhe Foi Dado O Nome De Jesus,98,224,926,536,3002,1613,4950,22,
Lhe Foram Confiadas,78,150,474,474,1914,1032,2567,17,
Lhes Deu,29,74,452,149,1076,575,525,7,
Lhes Deu Testemunho,70,214,1420,358,3382,1798,3655,17,
Libano,26,53,152,156,651,352,324,6,
Liberdade Irrestrita,98,197,944,698,2957,1577,3762,19,
Liberdade Irrestrita E Destemida,138,282,1317,908,4076,2179,8207,29,
Libra,24,42,132,176,554,298,215,5,
Lider,30,48,138,212,590,319,245,5,
Lider Humilde,66,120,534,432,1530,825,1452,12,
Liga O Testemunho,67,184,1075,385,2806,1495,2775,15,
Ligar,29,47,137,221,599,323,240,5,
Limpei,37,64,163,261,756,410,390,6,
Lingua,28,64,397,174,912,488,390,6,
Lingua Mortifera,79,169,898,535,2497,1333,2550,15,
Língua Portuguesa,72,207,1530,438,3435,1821,3328,16,
Linhagem,42,69,150,270,729,399,560,8,
Linhagem Santa,52,124,502,302,1688,906,1625,13,
Lis,13,40,139,91,586,313,123,3,
Livraste A Minha Alma Do Inferno Mais Profundo,187,430,2140,1181,6302,3366,16809,39,
Livre Arbitiro Vida,95,194,1409,695,3080,1637,3315,17,
Livre Arbitrio + Coração,106,214,1213,754,3292,1753,4515,21,
Livre Pensador,68,158,914,446,2462,1310,2067,13,
Livre Vontade,57,147,1254,335,2405,1276,1776,12,
Livro,31,76,589,223,1258,667,385,5,
Livro Da Geração De Jesus,88,214,1285,520,3238,1726,4515,21,
Livro Da Vida,54,117,1008,354,1857,987,1298,11,
Livro Santo,46,145,1000,290,2441,1293,1460,10,
Lógica,29,47,110,185,509,278,288,6,
Loja,11,38,101,47,470,254,156,4,
Loja De Saõ Joao,42,123,402,200,1649,886,1612,13,
Lombada,21,48,138,83,560,304,343,7,
Longo Sofrimento,80,197,827,496,2881,1539,2970,15,
Lord,22,49,184,142,709,379,200,4,
Louco,21,66,453,99,1044,555,335,5,
Loucura,28,91,784,154,1585,838,644,7,
Louvado Seja O Nome Do Senhor,105,285,1563,573,4299,2292,6864,24,
Louvai Ao Senhor,67,175,1174,421,2797,1486,2464,14,
Louvar A Deus,40,139,1291,204,2463,1301,1540,11,
Love,18,54,495,86,878,466,220,4,
Lua,7,34,331,19,586,310,105,3,
Lucas,11,56,434,29,956,506,285,5,
Lucro,24,69,483,144,1143,606,350,5,
Luminoso,37,118,649,213,1842,980,952,8,
Lutar,18,72,621,104,1310,691,365,5,
Luz,14,59,1130,82,1261,660,180,3,
Luz  Trevas,36,144,1926,210,2856,1500,1305,9,
Luz De Deus,36,117,1548,174,2145,1131,1062,9,
Luz Divina + Evangelho,90,207,2169,552,3333,1770,3952,19,
Luz Do Afeto,44,125,1466,236,2189,1157,1260,10,
Luz Do Amor,44,125,1385,268,2221,1173,1134,9,
Luz E Fe,30,75,1146,168,1347,711,456,6,
Luz Infinita,60,141,1464,416,2333,1237,1562,11,
Luzeiro,43,106,1294,305,1916,1011,749,7,
Ma Vindo A Plenitude Dos Tempos Deus Enviou O Seu Filho,205,556,3688,1159,8692,4624,25065,45,
Maça,9,18,45,27,180,99,76,4,
Macho E Femea Os Criou,85,175,796,507,2415,1295,3168,18,
Maçonaria,39,75,255,251,1007,541,684,9,
Macular,24,69,465,126,1089,579,490,7,
Madrugada,34,70,448,190,1018,544,639,9,
Mae Divina,42,78,519,262,1054,566,711,9,
Mae Filho,42,69,159,268,745,407,560,8,
Magia Negra,49,76,211,329,896,486,770,10,
Mágoa,19,37,109,103,445,241,190,5,
Maiores Em Força,69,141,510,445,1975,1058,1988,14,
Maiores Em Força E Poder,105,204,744,677,2846,1525,4100,20,
Mais Pequenos Mandamentos,93,273,1371,499,4189,2231,6302,23,
Mais Vale Uma Vida Sem Filhos,97,259,1699,559,3925,2092,6240,24,
Mal,8,26,71,26,314,170,81,3,
Mal Almadicionado,64,127,343,354,1479,803,2048,16,
Mal Carater,38,92,461,228,1398,745,930,10,
Maldade,22,40,85,84,372,206,287,7,
Maldicao,31,58,148,169,646,352,472,8,
Maldição Se Não Obedecerdes,98,197,647,520,2509,1353,4752,24,
Maldição Se Não Obedecerdes Os Mandamentos Do Senhor,187,448,1735,1007,6290,3369,20205,45,
Maldições Num Livro,79,205,1231,467,3095,1650,3502,17,
Maldita,24,60,285,128,812,436,427,7,
Maldita É A Terra Por Causa De Ti,107,260,1520,659,4052,2156,6786,26,
Maldita És Tu,35,125,890,167,2039,1082,1386,11,
Maldito,29,74,344,163,1036,555,525,7,
Maldito O Homem Que Confia Somente No Ser Humano,189,468,2295,1093,6844,3656,18760,40,
Malicia,30,48,93,198,486,267,343,7,
Maligna,30,57,138,182,641,349,406,7,
Maltratar,32,104,653,198,1764,934,945,9,
Malvada,18,54,477,60,816,435,385,7,
Malvado,23,68,536,95,1040,554,483,7,
Manchado Pelo Crime,83,155,479,499,1939,1047,2652,17,
Manda Aos Ricos Deste Mundo Que Não Sejam Altivos,156,471,2739,830,7373,3922,19352,41,
Manda Aos Ricos Deste Mundo Que Não Sejam Altivos Nem Ponham A Esperança Na Incerteza Das Riquezas,342,909,6093,1990,14383,7646,74620,82,
Mandai Chuva Sobre A Terra,93,219,1461,579,3477,1848,4840,22,
Mandamento,37,100,451,165,1398,749,1010,10,
Mandamentos,38,119,551,166,1759,939,1320,11,
Mandar,24,51,186,140,707,379,312,6,
Mandará O Seu Anjo Diante De Ti,99,243,1260,553,3523,1883,6100,25,
Mandou Um Servo,55,181,1450,287,3077,1629,2366,13,
Manha,19,37,100,107,431,234,190,5,
Manifesto Me A Ele Sem Enigmas,104,248,914,566,3320,1784,6225,25,
Manifestou Para Tirar Nossos Pecados,137,389,2036,851,6269,3329,12480,32,
Manjedoura,39,102,561,211,1498,800,1030,10,
Manter,26,71,386,152,1115,593,432,6,
Mão Direita,50,95,419,342,1323,709,960,10,
Mao Esquerda,47,119,686,275,1877,998,1320,11,
Maquinava Este Mal,57,174,1263,295,2788,1481,2800,16,
Mar,14,32,131,98,494,263,99,3,
Maravilhosas São As Tuas Obras,84,309,1956,486,5283,2796,8060,26,
Maravilhosos São Os Teus Testemunhos,121,445,2893,667,7507,3976,14272,32,
Mares,20,56,236,124,880,468,285,5,
Maria,24,42,141,180,576,309,215,5,
Maria + Filho Do Homem,93,165,471,615,2019,1092,2988,18,
Maria Madalena,48,93,273,274,1129,611,1222,13,
Maria Madalena Foi Ao Sepulcro De Madrugada,156,327,1524,914,4541,2434,12136,37,
Maria Madalena Foi E Anunciou Aos Disicpulos Que Vira O Senhor,242,575,3230,1522,8713,4644,29952,52,
Maria Mae De Jesus,54,144,711,300,2100,1122,2175,15,
Maria Perguntou Ao Anjo,91,235,1405,567,3681,1958,4720,20,
Marido,33,60,204,231,816,438,366,6,
Marta,17,53,332,103,895,474,270,5,
Marte,21,57,336,127,919,488,290,5,
Martelo,30,84,426,172,1288,686,595,7,
Mas A Hora Vem E Agora É,78,168,915,476,2474,1321,3042,18,
Mas A Indignação Aos Que São Contenciosos Desobedientes A Verdade E Obedientes A Iniquidade,335,758,3719,1937,10892,5825,59202,78,
Mas A Ira De Deus Sobre Ele Permanece,128,281,1226,736,3985,2133,8460,30,
Mas A Jerusalém Que É De Cima,86,221,1175,458,3203,1712,5106,23,
Mas A Maioria Dos Homens Não Cre,115,268,988,713,3836,2052,6994,26,
Mas A Palavra Do Senhor Permanece Para Sempre,170,395,1853,1046,5951,3173,15048,38,
Mas A Resposta Da Língua É Do Senhor,121,319,1552,717,4875,2597,9280,29,
Mas A Vida É Dificil Para Aqueles Que Pacificamente Lutam Pela Perfeição,273,570,3027,1663,8062,4316,34831,61,
Mas A Vida É Imortal,64,163,991,386,2483,1323,2624,16,
Mas Abraao Sera Teu Nome,72,207,1152,390,3279,1743,4160,20,
Más Açoes,22,76,310,90,1152,614,616,8,
Mas Agora Deus Colocou Os Membros Do Corpo Cada Um Como Quis,208,568,3070,1164,8832,4700,27881,49,
Mas Agora Diz O Senhor Que Te Criou O Jaco,161,386,2672,1041,6144,3265,12771,33,
Mas Agora Libertados Do Pecado,108,243,1008,632,3485,1864,6344,26,
Mas Ajudaras A Levantá Los,59,230,1526,257,3758,1994,5082,22,
Mas Ao Teu Nome,43,142,862,195,2238,1190,1716,12,
Mas Aos Outros,41,176,1112,223,3094,1635,2124,12,
Mas Apenas Batizados Em Nome Do Senhor Jesus Cristo,174,507,3099,1004,8069,4288,21844,43,
Mas Aquele Que Beber Da Água Que Eu Lhe Der,145,325,2197,817,4921,2623,11084,34,
Mas Aquele Que Beber Da Agua Que Eu Lhe Der Nunca Terá Sede,194,455,3011,1064,6941,3698,21432,47,
Mas Aquele Que Faz A Vontade De Meu Pai,128,326,2909,696,5286,2806,10137,31,
Mas Aquele Que Não Crer No Filho Não Terá A Vida Eterna,203,464,2642,1243,7012,3738,20460,44,
Mas Aquele Que Não Pratica,91,235,1432,537,3705,1970,5192,22,
Mas Aquele Que Não Prática E Cre Naquele Que Justifica Os Impio,236,578,3377,1456,8872,4725,30108,52,
Mas Aquele Que Vai Sair De Tuas Entranhas,134,386,2672,794,6356,3371,13158,34,
Mas Aqueles Que Seguem A Doutrina Trilham O Caminho Dos Ensinamentos Alcançam A Outra Margem E Vão Além Do Reino Da Morte,428,1085,5846,2470,16303,8694,108600,100,
Mas Até Setenta Vezes Sete,71,269,2528,319,4747,2508,5940,22,
Mas Bem Aventurados Os Vossos Olhos Porque Veem,164,542,3692,898,9088,4815,21720,40,
Mas Buscai Primeiro O Reino De Deus,145,325,1621,949,4873,2599,9454,29,
Mas Cada Qual Morrerá Em Razão Do Proprio Pecado,196,430,2590,1274,6710,3570,17240,40,
Mas Certamente O Matarás,72,225,1233,374,3587,1906,4746,21,
Mas Com A Carne A Lei Do Pecado,97,196,646,525,2514,1355,4728,24,
Mas Confiante Em Sua Formosura Tu Te Tornaste Licenciosa,195,573,3399,1105,9133,4853,27552,48,
Mas Da Árvore,45,117,792,275,1931,1024,1298,11,
"Mas Da Árvore Do Conhecimento Do Bem E Do Mal, Dela Não Comerás",214,475,2050,1164,6537,3506,24276,51,
"Mas Da Árvore Do Conhecimento Do Bem E Do Mal, Dela Não Comerás; Porque No Dia Em Que Dela Comeres, Certamente Morrerás",433,982,4627,2507,14216,7599,96334,98,
Mas De Toda A Palavra Que Sai Da Boca De Deus,121,310,1993,615,4764,2537,10885,35,
Mas De Toda Palavra Que Sai Da Boca De Deus,120,309,1992,614,4763,2536,10540,34,
Mas Deus No Las Revelou Pelo Seu Espirito,148,445,2794,854,7199,3822,15164,34,
Mas Deus O Ressuscitou Dos Mortos,107,404,2591,589,6934,3669,11340,28,
Mas Deus Respondeu-Lhe Não É Sara Tua Mulher Que Te Dará Luz A Um Filho Ao Qual Chamará Isaac,303,798,5559,1769,12686,6742,59925,75,
Mas Dirá Alguem Como Ressucitam Os Mortos,144,432,2349,842,6872,3652,15155,35,
Mas Dormindo Os Homens,89,233,881,529,3409,1821,4446,19,
Mas Dormindo Os Homens Veio O Seu Inimigo,177,420,2004,1127,6158,3289,14314,34,
Mas Eis Que Não Crerão Nem Ouvirão Minha Voz,179,440,3383,1147,7150,3795,15876,36,
Mas Entregou Jesus A Vontade Deles,105,339,2238,509,5423,2881,9860,29,
Mas Estende A Tua Mão,51,177,1113,207,2817,1497,3026,17,
Mas Estende A Tua Mão E Toca Lhe Nos Ossos Na Carne,140,437,2255,684,6777,3607,17520,40,
Mas Estende A Tua Mão E Toca Lhe Nos Ossos Na Carne Juro Que Te Renegará Em Tua Face,254,713,4115,1352,11099,5906,47124,66,
Mas Estende A Tua Mão E Toca Tudo Em Que Possui,135,441,3015,663,7233,3837,16354,37,
Mas Estende Tua Mão E Toca Lhe Nos Ossos,110,380,2054,516,6024,3202,12192,32,
Mas Eu E O Pai Que Me Enviou,99,252,1845,575,3986,2119,5313,21,
Mas Eu O Eterno Esquadrinho O Coração E Examino O Pensamento,234,576,3312,1384,8836,4706,28850,50,
Mas Eu O Eterno Esquadrinho O Coração E Examino O Pensamento Para Dar A Cada Um Segundo Os Seus Caminhos,368,944,5381,2134,14590,7767,80325,85,
Mas Faça-Se Tudo Decentemente E Com Ordem,134,332,1700,640,4744,2538,11655,35,
Mas Falamos A Sabedoria De Deus Oculta Em Mistério,161,431,2222,891,6471,3451,18144,42,
Mas Grande Ganho É A Piedade Com Contentamento,169,367,1555,925,4993,2680,14352,39,
Mas Haveis Sido Lavados,74,218,1433,420,3462,1840,4380,20,
Mas Haveis Sido Lavados Pelo Sangue Da Cruz,145,406,3259,829,6652,3529,14652,36,
Mas Ide As Ovelhas Perdidas Da Casa De Israel,142,331,1501,832,4765,2548,12284,37,
Mas Interiormente São Lobos Devoradores,161,422,2186,985,6574,3498,14805,35,
Mas Israel Não Me Conhece,90,198,666,512,2636,1417,4179,21,
Mas Isto É O Que Foi Dito Pelo Profeta Joel,165,408,2010,1011,6078,3243,13906,34,
Mas João Opunha Se,56,173,866,302,2651,1412,2610,15,
Mas Longe De Mim Esteja Gloriar Me,126,288,1044,752,3884,2086,8092,28,
Mas Não Ouvistes,49,193,1426,253,3331,1762,2716,14,
Mas Não Vistes,40,157,1066,208,2665,1411,1896,12,
Mas Não Vistes Forma Alguma,85,265,1642,463,4225,2245,6118,23,
Mas Naquele Tempo Livrar Se Á O Teu Povo Todo Aquele Que Se Achar Inscrito No Seu Livro,323,881,5831,1955,14267,7574,61740,70,
Mas Nós Não Recebemos O Espirito Do Mundo,156,408,1893,912,6168,3288,13906,34,
Mas Nós Não Recebemos O Espirito Do Mundo ( Mas Sim A Santa Doutrina),226,640,3250,1314,9954,5297,35896,56,
Mas Nós Não Recebemos O Espirito Do Mundo Mas O Espirito Que Provem De Deus,289,757,4105,1737,11799,6278,46238,61,
Mas Nos Que Somos Fortes,81,288,1557,451,4780,2534,5780,20,
Mas Nós Somos Irmãos Filhos Da Promessa,138,417,1695,840,6465,3441,13794,33,
Mas O Corpo Não É Para A Prostituição,137,353,1865,877,5629,2991,10620,30,
Mas O Justo Viverá Da Fé,73,226,1792,403,3760,1993,4313,19,
Mas O Pecado Que Habita Em Mim,103,229,1084,597,3207,1718,5520,24,
Mas O Peso Justo,44,188,1106,216,3150,1669,2457,13,
Mas O Peso Justo É Seu Prazer,97,322,2572,577,5608,2965,7429,23,
Mas O Que A Não Dá Em Casamento Faz Melhor,133,340,2248,723,5196,2768,11253,33,
Mas O Que É Espiritual Discerne Bem Todas As Coisas,171,468,2457,1015,7288,3878,19698,42,
Mas O Que Era Da Livre Por Promessa,134,341,1907,864,5463,2902,9576,28,
Mas O Que Profetiza Fala Aos Homens,129,336,2289,781,5344,2840,9773,29,
Mas O Que Profetiza Fala Aos Homens Para Edificação Exortação E Consolação,273,633,3945,1625,9617,5125,39942,63,
Mas O Que Refreia Os Seus Lábios É Prudente.,156,417,2388,946,6625,3521,15048,36,
Mas O Que Sai Dele Isso É Que Contamina O Homem,163,415,2026,943,6127,3271,15392,37,
Mas O Que Se Gloriar Glorie Se Nisso Em Me Conhecer E Saber Que Eu Sou O Senhor,304,736,3643,1906,11176,5956,45694,62,
Mas O Que Semeado Foi Em Boa Terra É O Que Ouve E Compreende A Palavra,249,582,3516,1435,8860,4721,32065,55,
Mas O Rei Salomão Será Abençoado,106,259,979,602,3725,1992,7020,27,
Mas O Rei Salomão Será Abençoado E O Trono De Davi Será Confirmado Para Sempre Perante O Eterno,362,830,3809,2216,12350,6590,64818,78,
Mas O Senhor Lhe Dirige Os Passos,129,327,1272,843,4911,2619,8856,27,
Mas O Seu Fim É Amargoso Como O Absinto,131,356,1670,753,5370,2863,11067,31,
Mas O Tolo É Arrogante E Dá-Se Por Seguro.,148,382,1957,902,5978,3180,13022,34,
Mas Os Bodes A Esquerda,68,203,1058,360,3231,1717,3876,19,
Mas Os Justos Para A Vida Eterna,91,307,1999,515,5141,2724,8008,26,
"Mas Outra Caiu Em Boa Terra, E Dava Fruto",128,353,2666,748,5905,3129,11682,33,
Mas Por Causa Da Prostituição,100,298,1873,614,4970,2634,7475,25,
Mas Por Jesus Cristo E Deus Pai,104,320,1832,640,5230,2775,8025,25,
Mas Porque Era Ladrão,83,200,1028,533,3152,1676,3618,18,
Mas Primeiro Convem Que Ele Padeça Muito E Seja Reprovado Por Esta Geração,292,679,3784,1792,10315,5497,42160,62,
Mas Prove Cada Um A Sua Própria Obra,125,323,2060,789,5307,2815,9396,29,
"Mas Quando Vier Aquele O Espirito Da Verdade, Ele Vos Guiará Em Toda A Verdade",285,663,4506,1709,10313,5488,42496,64,
Mas Quando Vier O Paráclito O Espirito Da Verdade Ele Vos Guiará Em Toda A Verdade,307,712,4609,1883,11054,5883,47771,67,
Mas Quando Vier O Que É Perfeito Então O Que É Em Parte Será Aniquilado,280,658,3952,1750,10228,5443,37563,57,
Mas Quando Vos Entregarem,96,267,1689,554,4307,2287,5896,22,
Mas Que Lhe É Agradavel Aquele Que Em Qualquer Nação,184,445,2965,1044,6849,3647,19178,43,
Mas Que Lhe É Agradavel Aquele Que Em Qualquer Nação O Teme E Faz O Que É Justo,266,689,5207,1486,10963,5826,42780,62,
Mas Quem Suportárá O Dia Da Sua Vinda,118,343,2422,696,5709,3026,10320,30,
Mas Rejeitas As Fábulas Profanas E Velhas,121,364,2029,671,5702,3033,12775,35,
Mas Se Eu Ignorar O Sentido Da Voz Serei Barbaro,186,447,3066,1210,7213,3830,17472,39,
Mas Se Fizeres O Mal Teme Porque Não É Sem Razaõ Que Leva A Espada,224,584,4463,1308,9462,5023,30420,52,
Mas Se Morrer,54,144,621,364,2308,1226,1595,11,
Mas Se Morrer Da Muito Fruto,109,307,1891,693,5067,2687,7084,23,
Mas Se Não Credes Nos Seus Escritos,109,361,1846,599,5855,3108,10498,29,
Mas Se Não Houver Interprete,117,306,1944,737,4958,2632,7368,24,
Mas Se O Sol Tiver Levantado Haverá Homicidio,174,426,2658,1074,6528,3477,16226,38,
Mas Se Sois Guiados Pelo Espirito,129,354,1704,833,5522,2938,9940,28,
Mas Se Sois Guiados Pelo Espirito Da Profecia,180,432,1953,1168,6496,3464,16454,38,
Mas Se Sois Guiados Pelo Espirito Não Estas Debaixo Da Lei,206,539,2951,1258,8287,4413,25920,48,
